Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,4,72,89,121,159,128,310,45,78,32,67,0,1105
Baja California ,1,1,12,8,5,6,21,1,6,4,2,0,67
Baja California Sur ,0,4,2,5,8,13,26,2,7,1,1,0,69
Campeche ,0,6,2,6,6,9,16,3,8,3,0,0,59
Coahuila ,0,8,7,10,12,17,37,8,7,1,2,0,109
Colima ,32,308,350,486,581,674,1721,271,453,110,272,7,5265
Chiapas ,2,15,8,16,15,25,77,9,19,6,16,0,208
Chihuahua ,8,29,23,27,31,36,68,9,20,6,9,0,266
Distrito Federal ,1,15,21,31,36,29,101,18,17,8,13,1,291
Durango ,19,200,307,378,497,473,1194,243,345,126,251,0,4033
Guanajuato ,69,1184,1535,2005,2152,1917,4707,796,1053,356,765,4,16543
Guerrero ,169,1951,2540,3015,3153,2722,6983,1258,1939,692,1634,10,26066
Hidalgo ,0,9,11,13,18,13,49,7,9,1,9,0,139
Jalisco ,163,1857,2288,2646,3098,2893,7639,1262,1840,678,1352,72,25788
M‚xico ,35,472,563,603,608,553,1257,226,305,128,278,1,5029
Michoac n ,129,1175,1469,1711,2040,1826,4732,803,1090,438,771,1,16185
Morelos ,62,1258,1644,1913,2232,2065,5090,1043,1559,449,1032,42,18389
Nayarit ,40,418,511,636,746,677,1909,323,457,184,382,0,6283
Nuevo Le¢n ,0,6,8,10,13,17,51,8,7,0,3,0,123
Oaxaca ,13,170,273,292,331,313,761,190,273,105,313,3,3037
Puebla ,41,455,715,755,936,864,2086,462,717,294,711,3,8039
Quer‚taro ,23,199,166,231,322,318,1059,186,298,89,161,0,3052
Quintana Roo ,1,8,8,5,13,21,54,9,8,1,6,1,135
San Luis Potos¡ ,1,1,11,9,16,19,48,12,16,2,13,0,148
Sinaloa ,21,297,359,520,620,556,1576,310,483,214,315,12,5283
Sonora ,28,285,298,353,390,353,970,175,292,106,168,2,3420
Tabasco ,1,3,3,1,0,8,11,3,3,2,2,0,37
Tamaulipas ,1,12,16,14,23,16,75,13,20,8,7,0,205
Tlaxcala ,0,0,5,4,1,10,12,0,2,0,4,0,38
Veracruz ,0,5,11,15,13,14,56,8,17,3,10,1,153
Yucat n ,0,0,0,5,1,6,19,3,6,1,4,0,45
Zacatecas ,12,113,158,172,227,201,504,105,151,77,157,0,1877
TOTAL GLOBAL ,876,10536,13413,16016,18303,16792,43219,7811,11505,4125,8730,160,151486
