Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,9,146,221,270,276,179,449,69,112,45,157,0,1933
Baja California ,1,9,8,11,20,16,51,5,10,2,6,1,140
Baja California Sur ,0,16,16,10,12,15,45,7,8,3,2,0,134
Campeche ,0,4,3,4,5,5,17,2,2,1,1,0,44
Coahuila ,2,14,17,20,25,21,60,6,8,2,10,0,185
Colima ,46,479,704,979,1258,1088,3108,538,811,289,556,18,9874
Chiapas ,0,17,17,32,40,27,99,21,28,9,16,0,306
Chihuahua ,9,49,53,50,29,33,106,13,21,5,22,0,390
Distrito Federal ,1,29,47,63,58,51,138,24,28,5,18,0,462
Durango ,67,469,677,764,833,668,1807,310,410,185,342,4,6536
Guanajuato ,192,2313,3358,4004,4001,3469,9145,1403,2021,723,1644,15,32288
Guerrero ,326,3697,4814,5240,4521,3441,8895,1608,2586,1068,2390,86,38672
Hidalgo ,2,7,24,10,15,16,38,13,8,6,11,0,150
Jalisco ,334,4324,6119,6747,6566,5589,15151,2433,3665,1500,3374,84,55886
M‚xico ,75,759,892,886,777,526,1414,277,336,148,344,1,6435
Michoac n ,216,2595,3261,3712,3553,2612,6690,1202,1623,653,1448,16,27581
Morelos ,173,2713,3515,3865,3779,2932,7941,1757,2551,1107,1987,33,32353
Nayarit ,132,1095,1507,1764,1922,1582,4329,842,1163,526,1040,6,15908
Nuevo Le¢n ,0,16,29,11,24,24,73,5,11,5,6,0,204
Oaxaca ,30,451,558,662,625,476,1275,243,424,201,568,4,5517
Puebla ,59,1131,1578,1966,1880,1401,3124,784,1130,473,1332,35,14893
Quer‚taro ,40,291,368,343,387,360,1220,170,241,91,157,0,3668
Quintana Roo ,2,8,9,7,12,11,38,4,7,2,3,0,103
San Luis Potos¡ ,4,22,46,31,43,33,110,19,32,10,23,0,373
Sinaloa ,54,614,749,870,903,694,2109,422,654,247,577,10,7903
Sonora ,69,635,548,541,519,422,1174,215,315,101,268,2,4809
Tabasco ,0,4,3,2,6,9,9,1,3,1,2,1,41
Tamaulipas ,5,23,34,21,30,42,109,11,17,9,16,0,317
Tlaxcala ,2,2,4,3,10,6,19,2,2,0,2,1,53
Veracruz ,4,36,30,24,32,18,107,20,39,6,19,0,335
Yucat n ,0,4,4,6,3,6,29,3,8,2,4,0,69
Zacatecas ,16,307,366,463,480,383,907,194,273,153,335,1,3878
TOTAL GLOBAL ,1870,22279,29579,33381,32644,26155,69786,12623,18547,7578,16680,318,271440
