Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,2,60,88,126,178,126,279,50,65,21,58,0,1053
Baja California ,0,2,1,2,5,12,22,4,4,1,1,0,54
Baja California Sur ,0,4,9,2,5,8,16,3,1,0,3,0,51
Campeche ,0,2,6,2,5,8,19,4,1,4,5,0,56
Coahuila ,1,8,10,9,25,27,53,7,11,3,3,0,157
Colima ,32,265,304,425,544,568,1575,274,396,116,273,8,4780
Chiapas ,0,8,12,14,17,15,69,10,22,2,13,0,182
Chihuahua ,2,20,18,28,20,26,59,6,14,6,14,0,213
Distrito Federal ,2,19,19,32,34,35,112,13,20,12,10,0,308
Durango ,31,176,284,322,480,439,1020,194,244,125,202,0,3517
Guanajuato ,74,1092,1458,1848,2168,1841,4709,779,953,351,750,0,16023
Guerrero ,144,1864,2406,2775,2884,2448,6538,1177,1853,688,1502,17,24296
Hidalgo ,1,1,6,10,13,13,37,6,5,2,8,0,102
Jalisco ,148,1742,2290,2655,3025,2778,7611,1250,1927,647,1510,84,25667
M‚xico ,25,398,468,501,556,464,1074,214,263,104,245,3,4315
Michoac n ,104,1252,1532,1798,2080,1808,4513,711,1053,403,852,5,16111
Morelos ,87,1051,1545,1638,1876,1732,4324,893,1266,381,892,37,15722
Nayarit ,37,437,533,649,746,711,1707,355,476,185,319,1,6156
Nuevo Le¢n ,1,8,10,9,9,9,49,6,9,3,3,0,116
Oaxaca ,16,199,270,312,328,338,780,156,261,124,335,3,3122
Puebla ,38,477,727,857,1037,891,2221,448,728,301,792,0,8517
Quer‚taro ,24,121,114,182,285,298,993,174,238,85,129,0,2643
Quintana Roo ,0,5,7,6,13,16,54,8,7,1,0,0,117
San Luis Potos¡ ,1,6,8,8,30,14,51,10,9,5,7,0,149
Sinaloa ,21,299,352,449,571,512,1352,304,476,171,319,1,4827
Sonora ,20,207,224,246,296,267,701,116,226,69,154,2,2528
Tabasco ,0,1,2,4,2,7,12,1,4,2,2,0,37
Tamaulipas ,0,14,9,8,22,29,51,5,20,6,5,0,169
Tlaxcala ,0,1,4,5,4,3,7,2,7,1,1,0,35
Veracruz ,1,9,4,6,11,22,42,10,16,3,11,0,135
Yucat n ,0,5,0,3,3,4,17,3,3,1,2,0,41
Zacatecas ,7,144,174,204,248,215,490,106,147,43,166,4,1948
TOTAL GLOBAL ,819,9897,12894,15135,17520,15684,40557,7299,10725,3866,8586,165,143147
