Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,2,74,112,137,153,102,244,40,64,27,71,0,1026
Baja California ,0,5,10,10,2,12,7,4,9,0,3,0,62
Baja California Sur ,0,2,2,6,5,4,10,0,2,1,0,0,32
Campeche ,0,1,1,3,6,3,8,1,3,1,4,1,32
Coahuila ,0,7,15,10,7,12,46,1,9,0,0,1,108
Colima ,17,313,401,531,701,728,1838,323,486,204,374,12,5928
Chiapas ,2,11,9,10,14,13,33,7,15,3,14,0,131
Chihuahua ,3,25,19,20,14,22,46,7,18,1,9,0,184
Distrito Federal ,0,23,26,24,32,18,69,16,15,5,6,0,234
Durango ,17,226,315,398,416,420,985,176,219,99,177,0,3448
Guanajuato ,80,1199,1556,1856,1851,1306,3254,531,696,265,633,0,13227
Guerrero ,182,2179,2847,3352,3000,2067,5149,1005,1498,615,1505,28,23427
Hidalgo ,1,3,6,8,6,7,19,5,6,1,6,0,68
Jalisco ,169,2165,2662,3150,3190,2838,7047,1169,1706,733,1706,46,26581
M‚xico ,30,505,580,602,555,330,745,152,194,74,191,6,3964
Michoac n ,231,1566,1763,2022,1923,1582,3777,671,946,398,935,20,15834
Morelos ,69,1270,1686,1830,1855,1410,3587,839,1224,404,1003,43,15220
Nayarit ,43,518,603,799,941,814,2058,443,512,250,500,2,7483
Nuevo Le¢n ,1,7,5,8,5,10,30,3,8,0,1,0,78
Oaxaca ,24,207,254,297,300,219,489,113,162,67,238,1,2371
Puebla ,32,606,797,904,963,685,1577,368,576,247,645,32,7432
Quer‚taro ,16,130,173,252,238,228,762,106,138,39,112,0,2194
Quintana Roo ,1,8,6,7,7,9,25,5,2,1,2,0,73
San Luis Potos¡ ,1,11,6,4,9,12,13,7,10,2,9,0,84
Sinaloa ,21,315,365,469,447,376,989,225,331,161,289,1,3989
Sonora ,23,245,247,191,169,151,370,84,111,44,78,1,1714
Tabasco ,0,0,1,3,0,3,5,2,1,1,0,0,16
Tamaulipas ,3,14,13,8,8,9,32,5,7,0,4,0,103
Tlaxcala ,0,1,3,5,8,1,6,1,1,1,1,0,28
Veracruz ,1,8,9,7,15,10,32,4,6,5,10,0,107
Yucat n ,0,4,7,1,2,1,5,5,2,1,1,0,29
Zacatecas ,6,137,164,198,236,181,444,80,124,61,170,5,1806
TOTAL GLOBAL ,975,11785,14663,17122,17078,13583,33701,6398,9101,3711,8697,199,137013
