Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,3,69,99,112,139,114,259,47,53,25,53,0,973
Baja California ,1,6,7,10,13,11,35,10,7,1,7,0,108
Baja California Sur ,0,4,3,1,7,8,17,1,3,0,3,0,47
Campeche ,0,2,1,1,8,11,17,3,5,4,3,0,55
Coahuila ,1,10,16,10,23,19,29,6,4,1,0,0,119
Colima ,16,277,306,422,591,566,1555,253,376,108,211,4,4685
Chiapas ,1,18,11,8,19,34,83,17,25,8,16,0,240
Chihuahua ,6,26,23,16,13,27,57,17,17,8,8,1,219
Distrito Federal ,2,15,20,21,23,29,91,12,24,5,4,0,246
Durango ,17,179,281,309,389,367,911,172,224,84,173,0,3106
Guanajuato ,59,925,1340,1640,1895,1600,4210,667,864,310,659,0,14169
Guerrero ,148,1870,2437,2677,2856,2302,6376,1134,1778,659,1564,44,23845
Hidalgo ,0,4,4,11,12,14,36,11,11,3,10,0,116
Jalisco ,165,1902,2515,2792,3148,3007,8324,1309,2006,733,1527,47,27475
M‚xico ,31,432,570,547,653,443,1097,220,277,120,238,1,4629
Michoac n ,118,1305,1675,1908,2153,1843,4603,792,1150,451,908,4,16910
Morelos ,81,1141,1597,1661,1989,1833,4448,886,1314,482,949,13,16394
Nayarit ,34,471,537,726,826,777,2053,383,495,189,378,126,6995
Nuevo Le¢n ,3,8,9,11,15,18,89,1,6,5,6,0,171
Oaxaca ,17,189,294,325,368,322,867,185,268,119,360,4,3318
Puebla ,26,521,717,840,948,889,2069,496,738,289,755,1,8289
Quer‚taro ,19,115,145,201,200,206,794,111,176,50,79,0,2096
Quintana Roo ,4,8,4,4,6,11,45,8,11,4,3,0,108
San Luis Potos¡ ,2,9,8,17,15,18,61,7,15,6,12,0,170
Sinaloa ,21,277,396,490,568,508,1447,295,435,198,318,3,4956
Sonora ,16,217,236,252,308,257,675,111,211,75,156,133,2647
Tabasco ,0,4,1,0,2,2,9,1,1,2,2,0,24
Tamaulipas ,0,10,18,12,16,16,90,9,11,2,6,0,190
Tlaxcala ,0,5,3,1,4,4,13,2,0,1,2,0,35
Veracruz ,0,12,7,11,13,22,55,13,20,3,6,0,162
Yucat n ,0,0,1,3,2,2,7,3,5,1,3,0,27
Zacatecas ,10,127,149,184,231,240,520,108,127,70,149,1,1916
TOTAL GLOBAL ,801,10158,13430,15223,17453,15520,40942,7290,10657,4016,8568,382,144440
