Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,13,232,360,442,352,275,628,84,148,86,181,1,2802
Baja California ,13,8,8,5,9,8,23,6,8,1,2,0,91
Baja California Sur ,2,4,9,7,10,12,28,5,8,2,3,0,90
Campeche ,1,2,2,6,4,5,11,0,0,0,1,0,32
Coahuila ,3,11,11,11,14,16,42,4,7,3,2,0,124
Colima ,54,652,845,1243,1280,1185,3252,507,681,308,604,29,10640
Chiapas ,4,19,18,17,15,32,68,16,21,6,10,0,226
Chihuahua ,7,36,46,39,32,48,121,13,31,16,21,0,410
Distrito Federal ,0,28,35,48,33,47,111,18,13,4,11,0,348
Durango ,20,395,527,646,666,561,1410,248,346,156,266,2,5243
Guanajuato ,195,1921,2395,2900,2963,2631,6461,962,1306,553,950,17,23254
Guerrero ,295,3073,3812,4045,3328,2565,6396,1261,1680,884,1552,30,28921
Hidalgo ,2,10,30,33,28,26,79,14,20,8,9,1,260
Jalisco ,423,4118,4880,6030,5751,4688,12751,2053,3077,1356,2680,142,47949
M‚xico ,64,675,845,853,611,419,1073,220,202,120,231,6,5319
Michoac n ,358,2395,3140,3316,2968,2281,5226,952,1309,562,1206,134,23847
Morelos ,293,2506,2909,3272,2849,2605,5975,1243,1651,724,1503,29,25559
Nayarit ,125,1151,1543,1723,1704,1382,3816,815,980,476,811,116,14642
Nuevo Le¢n ,1,13,15,18,18,27,70,16,27,8,10,54,277
Oaxaca ,25,321,479,523,428,362,864,196,273,144,367,6,3988
Puebla ,93,1141,1587,2011,1731,1364,3134,690,1070,490,1200,344,14855
Quer‚taro ,81,351,270,450,375,447,1319,142,229,65,154,1,3884
Quintana Roo ,0,6,11,10,9,5,38,3,3,0,3,0,88
San Luis Potos¡ ,2,22,18,30,29,30,97,25,35,10,26,1,325
Sinaloa ,83,766,806,907,870,798,2229,362,546,248,542,6,8163
Sonora ,81,698,654,593,549,551,1438,294,345,156,256,4,5619
Tabasco ,0,4,1,4,2,9,4,3,0,0,1,0,28
Tamaulipas ,2,19,27,39,27,29,94,12,21,9,13,94,386
Tlaxcala ,0,5,0,18,4,6,10,0,0,1,3,0,47
Veracruz ,8,11,17,16,23,20,64,13,20,9,13,1,215
Yucat n ,0,2,0,3,9,6,8,0,3,1,1,0,33
Zacatecas ,14,202,290,293,328,215,577,101,174,107,229,4,2534
TOTAL GLOBAL ,2262,20797,25590,29551,27019,22655,57417,10278,14234,6513,12861,1022,230199
