Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,9,64,92,104,140,128,253,67,89,33,61,0,1040
Baja California ,2,10,11,3,5,13,35,2,5,2,1,0,89
Baja California Sur ,1,2,3,5,4,8,7,2,4,1,0,0,37
Campeche ,0,0,2,2,4,6,16,3,5,4,4,0,46
Coahuila ,0,7,9,11,10,20,51,2,7,2,6,0,125
Colima ,22,257,371,466,592,613,1706,286,443,121,265,2,5144
Chiapas ,0,6,13,16,13,17,76,17,35,4,16,0,213
Chihuahua ,6,25,13,23,25,24,62,15,13,4,6,0,216
Distrito Federal ,3,15,31,28,30,42,91,22,24,4,7,0,297
Durango ,37,291,356,499,568,565,1484,280,371,173,334,0,4958
Guanajuato ,104,1228,1716,2122,2035,1976,5481,872,1350,438,973,9,18304
Guerrero ,169,2302,2900,3306,3571,3221,8307,1633,2388,828,1984,18,30627
Hidalgo ,0,6,17,9,17,21,43,7,10,6,6,0,142
Jalisco ,153,1921,2230,2689,2983,2972,8077,1372,2135,705,1502,30,26769
M‚xico ,29,560,642,665,667,659,1520,268,417,158,345,128,6058
Michoac n ,104,1432,1620,1927,2103,2181,5138,955,1316,469,931,61,18237
Morelos ,38,1071,1498,1705,1968,1901,4707,877,1348,481,942,26,16562
Nayarit ,127,560,590,740,740,865,2076,486,601,249,464,52,7550
Nuevo Le¢n ,1,6,7,9,10,10,47,7,4,2,8,0,111
Oaxaca ,13,187,255,285,320,341,862,206,319,127,315,4,3234
Puebla ,32,451,508,679,849,755,1823,402,598,277,627,2,7003
Quer‚taro ,8,119,145,201,316,370,1207,186,301,95,189,0,3137
Quintana Roo ,1,6,1,2,9,10,25,5,11,1,3,1,75
San Luis Potos¡ ,2,10,14,11,24,34,68,14,28,13,19,0,237
Sinaloa ,31,356,372,531,596,669,1724,349,572,186,367,5,5758
Sonora ,32,278,314,344,406,353,988,173,338,101,195,3,3525
Tabasco ,0,2,3,1,2,3,8,0,2,1,0,0,22
Tamaulipas ,0,20,20,30,35,27,99,16,25,7,19,1,299
Tlaxcala ,0,1,3,0,2,4,8,5,4,1,1,0,29
Veracruz ,2,6,3,4,9,18,58,8,15,6,8,0,137
Yucat n ,0,2,1,1,6,2,6,1,4,3,2,0,28
Zacatecas ,11,120,160,224,249,237,562,131,168,80,178,0,2120
TOTAL GLOBAL ,937,11321,13920,16642,18308,18065,46615,8669,12950,4582,9778,342,162129
