Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,5,81,113,107,132,100,240,50,50,31,73,0,982
Baja California ,0,6,5,7,10,8,20,2,4,0,1,0,63
Baja California Sur ,0,3,2,5,0,2,8,1,3,0,0,0,24
Campeche ,0,4,5,0,0,2,13,0,3,0,2,0,29
Coahuila ,4,10,3,13,11,14,30,6,7,1,1,0,100
Colima ,37,346,380,554,799,717,2137,390,568,232,411,2,6573
Chiapas ,2,9,17,9,4,13,45,6,16,7,8,0,136
Chihuahua ,2,23,30,22,15,12,43,7,11,5,11,0,181
Distrito Federal ,1,17,31,25,35,24,78,12,15,9,14,0,261
Durango ,31,300,394,500,626,548,1297,236,320,138,268,0,4658
Guanajuato ,101,1493,1858,2099,1696,1395,3753,612,865,332,829,12,15045
Guerrero ,185,2692,3272,4017,4193,3141,7369,1426,2134,897,2124,29,31479
Hidalgo ,1,9,14,14,9,7,24,3,7,3,4,0,95
Jalisco ,209,2327,2680,3075,2986,2810,7616,1246,2019,752,1782,32,27534
M‚xico ,38,582,796,742,692,517,1227,226,323,128,306,3,5580
Michoac n ,115,1707,1858,2049,1983,1820,4235,891,1137,462,977,55,17289
Morelos ,58,1241,1649,1958,2007,1694,4423,898,1470,564,1209,35,17206
Nayarit ,102,617,759,848,913,951,2347,504,684,409,654,16,8804
Nuevo Le¢n ,1,3,7,5,4,5,28,1,9,1,4,0,68
Oaxaca ,10,222,262,296,271,222,533,117,186,93,257,3,2472
Puebla ,38,476,625,705,760,681,1534,366,540,227,538,5,6495
Quer‚taro ,15,149,168,259,286,342,857,120,212,68,140,0,2616
Quintana Roo ,0,7,4,2,5,5,20,2,1,0,3,0,49
San Luis Potos¡ ,2,10,11,14,15,9,45,4,13,2,16,0,141
Sinaloa ,20,339,437,467,475,378,1180,275,364,166,344,0,4445
Sonora ,36,347,302,297,213,197,529,127,146,60,103,3,2360
Tabasco ,0,2,2,0,1,2,6,2,2,0,1,0,18
Tamaulipas ,5,24,14,22,14,18,53,11,15,8,17,0,201
Tlaxcala ,0,0,0,4,3,2,7,2,2,1,2,0,23
Veracruz ,2,6,16,4,18,11,26,6,9,3,6,0,107
Yucat n ,0,0,2,0,0,4,3,1,3,0,2,0,15
Zacatecas ,11,158,187,232,246,206,500,131,137,74,184,2,2068
TOTAL GLOBAL ,1031,13210,15903,18351,18422,15857,40226,7681,11275,4673,10291,197,157117
