Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,10,119,188,217,187,137,335,64,104,34,95,0,1490
Baja California ,2,7,7,8,4,6,26,3,4,1,1,0,69
Baja California Sur ,1,12,4,6,7,12,23,4,9,0,1,0,79
Campeche ,0,9,7,3,7,1,13,4,4,0,0,0,48
Coahuila ,2,5,6,7,14,12,34,1,2,0,0,0,83
Colima ,53,606,835,1172,1319,1097,3090,509,745,287,525,33,10271
Chiapas ,3,27,15,19,17,13,64,10,17,5,5,0,195
Chihuahua ,16,60,56,53,48,37,112,32,23,12,16,1,466
Distrito Federal ,2,20,34,30,29,33,86,12,15,4,3,0,268
Durango ,38,388,555,662,687,587,1480,297,358,175,280,5,5512
Guanajuato ,186,2062,2661,3080,3086,2722,6381,1027,1225,470,1032,141,24073
Guerrero ,295,2734,3313,3445,2646,2196,5116,1122,1404,710,1206,17,24204
Hidalgo ,3,13,35,23,31,28,83,15,20,7,18,0,276
Jalisco ,386,4299,5219,6107,5921,4756,12757,2012,3099,1307,2540,50,48453
México ,130,804,914,887,599,396,1099,208,282,133,211,2,5665
Michoac n ,313,2901,3557,4107,3476,2622,6521,1235,1653,679,1501,23,28588
Morelos ,296,3026,3302,3894,3285,3155,7502,1566,1987,915,1758,55,30741
Nayarit ,131,1238,1575,1902,1795,1492,3916,695,967,442,889,10,15052
Nuevo Le¢n ,4,22,63,73,66,63,129,24,12,4,6,0,466
Oaxaca ,29,348,487,588,459,343,980,209,296,154,359,4,4256
Puebla ,75,1257,1826,2118,1864,1338,3388,726,1126,491,1266,6,15481
Quer‚taro ,78,412,415,495,421,528,1357,155,218,92,203,3,4377
Quintana Roo ,1,7,5,9,8,10,35,5,5,0,4,1,90
San Luis Potosi ,1,16,22,34,23,23,78,15,21,6,19,0,258
Sinaloa ,99,765,833,823,746,663,1980,382,509,258,454,13,7525
Sonora ,1173,2028,1017,836,606,738,2562,415,831,312,869,0,11387
Tabasco ,1,3,2,9,5,6,14,3,1,0,0,0,44
Tamaulipas ,2,28,35,40,48,55,121,24,19,9,16,126,523
Tlaxcala ,0,3,3,4,4,5,11,1,0,0,0,0,31
Veracruz ,7,23,20,27,24,26,70,15,13,6,18,0,249
Yucat n ,3,15,4,5,6,4,14,4,3,4,2,0,64
Zacatecas ,16,229,314,379,445,253,646,111,183,94,224,5,2899
TOTAL GLOBAL ,3356,23486,27329,31062,27883,23357,60023,10905,15155,6611,13521,495,243183
