Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,977,17,0,0,0,0,0,0,1,995
Baja California,22,38,0,2,0,0,0,0,11,73
Baja California Sur,65,2,17,0,0,0,0,0,0,84
Campeche,14,7,3,1,0,0,0,0,3,28
Coahuila,40,33,2,5,0,0,0,0,4,84
Colima,3535,1205,42,0,0,0,2,35,29,4848
Chiapas,85,7,10,12,0,0,1,0,0,115
Chihuahua,91,14,8,59,0,0,3,0,9,184
Distrito Federal,189,13,37,0,5,0,1,1,6,252
Durango,2676,6,2,444,0,0,0,0,0,3128
Guanajuato,8205,5327,201,0,0,8,43,0,3315,17099
Guerrero,16711,3484,557,9,0,0,39,37,18,20855
Hidalgo,123,0,0,11,0,0,0,0,2,136
Jalisco,19936,7611,84,1,0,0,34,0,1802,29468
México,3197,8,7,5,4,0,1,0,170,3392
Michoacán,9273,2384,426,3896,0,0,28,11,0,16018
Morelos,11923,3201,582,12,0,0,5,0,0,15723
Nayarit,4766,564,40,1520,2,0,8,0,15,6915
Nuevo León,36,40,2,0,0,0,0,0,22,100
Oaxaca,1662,22,80,1042,2,1,11,6,2,2828
Puebla,6360,502,50,2150,0,0,1,0,40,9103
Querétaro,652,1538,79,0,11,0,0,0,56,2336
Quintana Roo,21,36,14,0,0,0,0,0,0,71
San Luis Potosí,67,103,6,53,0,0,0,0,4,233
Sinaloa,1927,905,93,875,4,0,12,20,445,4281
Sonora,1833,747,59,0,0,0,5,0,104,2748
Tabasco,13,3,0,0,0,2,0,0,1,19
Tamaulipas,114,29,6,24,0,4,1,0,6,184
Tlaxcala,19,4,0,0,0,0,0,0,0,23
Veracruz,94,39,2,22,0,0,0,0,0,157
Yucatán,14,5,2,11,0,0,0,0,4,36
Zacatecas,1504,24,2,406,0,0,0,0,0,1936
TOTAL GLOBAL,96144,27918,2413,10560,28,15,195,110,6069,143452
