Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,1973,26,0,0,0,0,0,0,1,2000
Baja California,38,52,2,2,0,0,1,0,25,120
Baja California Sur,117,2,25,0,0,0,0,0,0,144
Campeche,16,8,5,1,0,0,0,0,5,35
Coahuila,68,61,4,7,0,0,0,0,8,148
Colima,7660,2462,83,0,0,0,5,76,57,10343
Chiapas,140,15,19,29,0,0,8,0,0,211
Chihuahua,170,24,15,117,0,0,3,0,20,349
Distrito Federal,325,28,63,0,8,0,3,3,19,449
Durango,5218,10,8,832,0,0,2,0,0,6070
Guanajuato,14862,9703,372,0,0,21,67,0,6884,31909
Guerrero,33961,6480,1068,17,0,0,83,82,34,41725
Hidalgo,234,0,0,17,0,0,0,0,4,255
Jalisco,40582,15127,196,3,0,0,108,0,3646,59662
México,6316,14,15,11,5,0,1,0,349,6711
Michoacán,18354,4633,760,7976,0,0,52,24,0,31799
Morelos,24408,6240,1100,20,0,0,19,0,0,31787
Nayarit,9702,1433,69,3397,4,0,60,0,36,14701
Nuevo León,61,62,4,0,0,0,0,0,48,175
Oaxaca,2955,49,134,1810,3,1,18,7,3,4980
Puebla,12094,965,99,4115,0,0,5,0,74,17352
Querétaro,1297,2740,130,0,18,0,0,0,90,4275
Quintana Roo,49,67,21,0,0,0,0,0,0,137
San Luis Potosí,120,174,10,88,0,0,0,0,5,397
Sinaloa,3409,1508,159,1689,5,0,28,38,847,7683
Sonora,3157,1216,94,0,0,0,9,0,167,4643
Tabasco,18,6,0,0,0,2,0,0,1,27
Tamaulipas,200,59,10,40,0,6,3,0,8,326
Tlaxcala,31,8,0,0,0,0,0,0,0,39
Veracruz,152,61,3,38,0,0,0,0,0,254
Yucatán,20,9,5,23,0,0,0,0,5,62
Zacatecas,2987,60,9,773,0,0,1,0,0,3830
Total,190694,53302,4482,21005,43,30,476,230,12336,282598
