Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,InstituciónDIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,1937,148,2,S.R.,0,S.R.,0,S.R.,1,2088
Baja California,41,70,1,13,S.R.,S.R.,0,0,4,129
Baja California Sur,69,29,8,S.R.,S.R.,S.R.,0,0,S.R.,106
Campeche,48,22,12,5,0,1,0,0,6,94
Coahuila,54,140,0,7,0,S.R.,0,S.R.,2,203
Colima,8577,2979,52,S.R.,0,S.R.,0,71,102,11781
Chiapas,137,143,49,27,S.R.,0,0,3,4,363
Chihuahua,165,89,5,127,S.R.,S.R.,0,S.R.,65,451
Distrito Federal,380,18,63,1,1,1,2,0,47,513
Durango,6565,127,11,965,0,S.R.,0,S.R.,1,7669
Guanajuato,23487,1091,387,0,S.R.,42,38,S.R.,5503,30548
Guerrero,43995,5794,1372,1,S.R.,S.R.,93,29,0,51284
Hidalgo,183,2,0,32,0,0,0,S.R.,2,219
Jalisco,37349,8853,141,1,0,0,19,9,5842,52214
México,9200,90,12,6,14,S.R.,1,S.R.,458,9781
Michoacán,15443,6230,701,9675,S.R.,S.R.,45,12,S.R.,32106
Morelos,30468,4993,1104,1,S.R.,S.R.,45,S.R.,S.R.,36611
Nayarit,8020,1752,181,3670,9,S.R.,8,1,4,13645
Nuevo León,51,142,0,0,S.R.,0,0,S.R.,34,227
Oaxaca,2939,181,151,2119,0,2,7,4,6,5409
Puebla,10412,933,59,3767,0,0,0,S.R.,68,15239
Querétaro,2156,3227,128,0,2,S.R.,2,S.R.,88,5603
Quintana Roo,82,99,52,S.R.,S.R.,S.R.,0,0,3,236
San Luis Potosí,142,52,9,47,S.R.,3,0,S.R.,14,267
Sinaloa,4041,2212,199,2398,3,1,19,24,624,9521
Sonora,3491,1698,160,0,S.R.,S.R.,3,6,234,5592
Tabasco,27,23,2,S.R.,S.R.,0,0,0,14,66
Tamaulipas,188,108,0,37,1,1,0,0,2,337
Tlaxcala,46,17,0,0,0,S.R.,0,S.R.,0,63
Veracruz,106,95,3,44,0,0,4,6,0,258
Yucatán,2,25,4,28,0,S.R.,0,0,14,73
Zacatecas,2601,100,11,984,0,S.R.,0,S.R.,0,3696
TOTAL GLOBAL,212402,41482,4879,23955,30,51,286,165,13142,296392
