Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,2089.00,7.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,2099.00
Baja California,13.00,27.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,41.00
Baja California Sur,38.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,42.00
Campeche,3.00,2.00,4.00,2.00,0.00,0.00,0.00,0.00,1.00,12.00
Coahuila,20.00,18.00,2.00,7.00,0.00,0.00,0.00,0.00,23.00,70.00
Colima,3888.00,1654.00,57.00,0.00,0.00,0.00,5.00,55.00,62.00,5721.00
Chiapas,69.00,4.00,15.00,20.00,0.00,0.00,18.00,0.00,1.00,127.00
Chihuahua,68.00,41.00,0.00,60.00,0.00,0.00,0.00,0.00,17.00,186.00
Distrito Federal,121.00,6.00,29.00,0.00,0.00,0.00,0.00,2.00,0.00,158.00
Durango,2235.00,8.00,6.00,422.00,0.00,0.00,1.00,0.00,0.00,2672.00
Guanajuato,5312.00,2715.00,135.00,0.00,0.00,0.00,39.00,0.00,2649.00,10850.00
Guerrero,13209.00,946.00,394.00,0.00,0.00,0.00,125.00,39.00,3.00,14716.00
Hidalgo,100.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,1.00,115.00
Jalisco,16182.00,6475.00,62.00,0.00,2.00,10.00,148.00,0.00,1630.00,24509.00
México,2569.00,10.00,8.00,0.00,2.00,0.00,0.00,0.00,133.00,2722.00
Michoacán,6957.00,1373.00,327.00,3288.00,0.00,0.00,0.00,12.00,0.00,11957.00
Morelos,9667.00,3301.00,537.00,0.00,0.00,0.00,0.00,0.00,0.00,13505.00
Nayarit,5003.00,1014.00,33.00,1991.00,4.00,0.00,124.00,0.00,36.00,8205.00
Nuevo León,24.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,95.00
Oaxaca,1023.00,45.00,39.00,568.00,0.00,3.00,4.00,9.00,0.00,1691.00
Puebla,4728.00,581.00,53.00,1641.00,0.00,0.00,1.00,0.00,39.00,7043.00
Querétaro,464.00,1386.00,17.00,0.00,0.00,0.00,0.00,0.00,21.00,1888.00
Quintana Roo,19.00,21.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00
San Luis Potosí,33.00,71.00,0.00,29.00,0.00,1.00,0.00,0.00,3.00,137.00
Sinaloa,1609.00,696.00,58.00,1089.00,17.00,0.00,16.00,9.00,361.00,3855.00
Sonora,1639.00,576.00,28.00,0.00,0.00,0.00,12.00,0.00,82.00,2337.00
Tabasco,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00
Tamaulipas,65.00,6.00,0.00,13.00,0.00,1.00,6.00,0.00,20.00,111.00
Tlaxcala,14.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00
Veracruz,42.00,26.00,0.00,10.00,0.00,0.00,1.00,1.00,0.00,80.00
Yucatán,4.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,8.00
Zacatecas,920.00,86.00,5.00,272.00,0.00,0.00,0.00,0.00,0.00,1283.00
Total general,78138.00,21137.00,1820.00,9429.00,25.00,15.00,501.00,129.00,5116.00,116310.00
