Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,2772.00,27.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,2802.00
Baja California,27.00,56.00,4.00,2.00,0.00,0.00,0.00,0.00,2.00,91.00
Baja California Sur,76.00,0.00,13.00,0.00,0.00,0.00,1.00,0.00,0.00,90.00
Campeche,16.00,3.00,6.00,4.00,0.00,0.00,0.00,0.00,3.00,32.00
Coahuila,31.00,36.00,2.00,11.00,0.00,0.00,0.00,0.00,44.00,124.00
Colima,7106.00,3212.00,112.00,0.00,0.00,0.00,11.00,97.00,102.00,10640.00
Chiapas,131.00,6.00,27.00,35.00,0.00,0.00,19.00,0.00,8.00,226.00
Chihuahua,158.00,102.00,0.00,111.00,0.00,0.00,0.00,0.00,39.00,410.00
Distrito Federal,261.00,21.00,63.00,0.00,0.00,0.00,0.00,3.00,0.00,348.00
Durango,4369.00,24.00,18.00,828.00,0.00,0.00,4.00,0.00,0.00,5243.00
Guanajuato,11577.00,5829.00,295.00,0.00,0.00,0.00,74.00,0.00,5479.00,23254.00
Guerrero,25634.00,2136.00,830.00,0.00,0.00,0.00,234.00,83.00,4.00,28921.00
Hidalgo,214.00,0.00,1.00,40.00,0.00,0.00,0.00,0.00,5.00,260.00
Jalisco,31626.00,12848.00,117.00,0.00,3.00,10.00,180.00,1.00,3164.00,47949.00
México,4990.00,22.00,18.00,0.00,3.00,0.00,2.00,0.00,284.00,5319.00
Michoacán,13936.00,2669.00,716.00,6502.00,0.00,0.00,0.00,24.00,0.00,23847.00
Morelos,18005.00,6484.00,1070.00,0.00,0.00,0.00,0.00,0.00,0.00,25559.00
Nayarit,9295.00,1699.00,81.00,3390.00,5.00,0.00,126.00,0.00,46.00,14642.00
Nuevo León,40.00,171.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,277.00
Oaxaca,2376.00,114.00,94.00,1361.00,0.00,4.00,10.00,26.00,3.00,3988.00
Puebla,9976.00,1234.00,137.00,3428.00,0.00,0.00,1.00,0.00,79.00,14855.00
Querétaro,930.00,2881.00,37.00,0.00,0.00,0.00,0.00,0.00,36.00,3884.00
Quintana Roo,35.00,42.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,88.00
San Luis Potosí,80.00,184.00,3.00,51.00,0.00,2.00,0.00,0.00,5.00,325.00
Sinaloa,3380.00,1577.00,147.00,2183.00,30.00,0.00,26.00,18.00,802.00,8163.00
Sonora,3816.00,1487.00,72.00,0.00,0.00,0.00,15.00,0.00,229.00,5619.00
Tabasco,26.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,28.00
Tamaulipas,169.00,11.00,0.00,42.00,0.00,7.00,9.00,0.00,148.00,386.00
Tlaxcala,38.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00
Veracruz,114.00,66.00,3.00,27.00,0.00,0.00,2.00,3.00,0.00,215.00
Yucatán,14.00,1.00,0.00,15.00,0.00,0.00,0.00,2.00,1.00,33.00
Zacatecas,1841.00,142.00,6.00,544.00,0.00,0.00,1.00,0.00,0.00,2534.00
TOTAL GLOBAL,153059.00,43093.00,3887.00,18574.00,41.00,24.00,715.00,257.00,10549.00,230199.00
