Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes ,1143,46,1,S.R.,0,S.R.,0,S.R.,2,1192
Baja California ,28,38,0,3,S.R.,S.R.,0,0,0,69
Baja California Su ,75,8,6,S.R.,S.R.,S.R.,0,0,S.R.,89
Campeche ,26,18,2,4,0,0,0,0,2,52
Coahuila ,39,79,0,4,2,S.R.,2,S.R.,3,129
Colima ,3594,1482,16,S.R.,0,S.R.,0,154,67,5313
Chiapas ,81,66,10,26,S.R.,0,0,0,4,187
Chihuahua ,118,49,7,88,S.R.,S.R.,0,S.R.,14,276
Distrito Federal ,160,12,29,1,2,0,6,0,37,247
Durango ,3498,25,4,582,0,S.R.,S.R.,0,0,4109
Guanajuato ,13992,3841,283,1,S.R.,17,36,S.R.,1340,19510
Guerrero ,24811,3145,905,62,S.R.,S.R.,72,7,0,29002
Hidalgo ,131,3,0,12,0,2,0,S.R.,0,148
Jalisco ,18622,5362,63,1,0,0,7,3,2699,26757
M‚xico ,5372,55,2,4,7,S.R.,0,S.R.,245,5685
Michoac n ,7678,3547,479,5882,S.R.,S.R.,3,14,S.R.,17603
Morelos ,14495,1200,586,0,S.R.,S.R.,32,S.R.,S.R.,16313
Nayarit ,4237,1159,122,1757,0,S.R.,0,1,5,7281
Nuevo Le¢n ,40,76,0,0,S.R.,0,0,S.R.,23,139
Oaxaca ,1544,134,99,1299,1,0,1,8,6,3092
Puebla ,5566,505,62,1891,0,0,0,S.R.,44,8068
Quer‚taro ,1215,1629,77,0,0,S.R.,0,S.R.,50,2971
Quintana Roo ,25,17,17,S.R.,S.R.,S.R.,0,0,3,62
San Luis Potos¡ ,103,60,5,62,S.R.,3,0,S.R.,4,237
Sinaloa ,2617,1249,126,1401,4,0,3,12,304,5716
Sonora ,2155,1304,66,0,S.R.,S.R.,2,1,196,3724
Tabasco ,21,25,1,S.R.,S.R.,0,0,0,3,50
Tamaulipas ,154,104,1,42,16,0,0,0,6,323
Tlaxcala ,18,18,0,0,0,S.R.,0,S.R.,0,36
Veracruz ,75,58,4,22,0,0,0,0,0,159
Yucat n ,3,14,0,16,0,S.R.,0,0,3,36
Zacatecas ,1293,81,3,499,0,S.R.,0,S.R.,0,1876
TOTAL GLOBAL ,112929,25409,2976,13659,32,22,164,200,5060,160451
