Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,1960,26,0,NA,0,NA,0,NA,0,1986
Baja California,32,79,2,1,NA,NA,0,1,40,155
Baja California Sur,81,19,17,NA,NA,NA,1,2,NA,120
Campeche,90,19,12,3,0,0,0,0,1,125
Coahuila,90,68,4,10,0,NA,0,NA,13,185
Colima,7642,2418,85,NA,0,NA,7,78,131,10361
Chiapas,219,53,43,60,NA,0,0,6,10,391
Chihuahua,149,92,8,148,NA,NA,0,NA,16,413
Distrito Federal,360,32,60,0,0,0,9,1,19,481
Durango,5173,94,2,977,0,NA,2,NA,6,6254
Guanajuato,15561,6276,427,1,NA,37,52,NA,6278,28632
Guerrero,34065,4787,1226,2,NA,NA,50,11,NA,40141
Hidalgo,211,0,0,11,0,0,0,NA,6,228
Jalisco,38492,10806,116,5,0,0,16,2,4740,54177
México,7694,53,14,2,10,NA,2,NA,344,8119
Michoacán,17010,5426,791,7412,NA,NA,58,4,NA,30701
Morelos,23696,5657,1208,18,NA,NA,141,NA,NA,30720
Nayarit,9977,1238,163,3680,29,NA,20,1,20,15128
Nuevo León,65,125,2,0,NA,0,0,NA,41,233
Oaxaca,3678,149,162,1798,8,3,8,30,11,5847
Puebla,10550,953,100,3795,0,0,1,NA,44,15443
Querétaro,1218,2837,96,0,1,NA,0,NA,76,4228
Quintana Roo,40,38,8,NA,NA,NA,0,0,NA,86
San Luis Potosí,116,145,6,74,NA,0,0,NA,12,353
Sinaloa,3854,1507,179,2141,17,1,22,20,746,8487
Sonora,2869,1043,76,0,NA,NA,7,0,253,4248
Tabasco,24,25,3,NA,NA,0,1,0,0,53
Tamaulipas,156,82,12,25,2,4,3,0,23,307
Tlaxcala,46,6,0,0,0,NA,0,NA,0,52
Veracruz,138,66,2,34,0,0,2,0,NA,242
Yucatán,7,31,0,25,0,NA,0,0,0,63
Zacatecas,2895,95,8,992,0,NA,26,NA,1,4017
TOTAL GLOBAL,188158,44245,4832,21214,67,45,428,156,12831,271976
