Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,893,15,0,0,0,0,0,0,0,908
Baja California,14,31,4,4,0,0,1,0,24,78
Baja California Sur,49,0,14,0,0,0,0,0,0,63
Campeche,11,1,4,7,0,0,1,0,0,24
Coahuila,23,22,1,8,0,0,0,0,10,64
Colima,3219,1077,45,0,0,0,12,51,104,4508
Chiapas,112,2,15,24,0,0,3,0,2,158
Chihuahua,82,29,3,52,0,0,0,0,16,182
Distrito Federal,181,8,25,0,1,0,1,1,7,224
Durango,2656,1,3,322,4,0,0,0,0,2986
Guanajuato,7015,3669,222,2,0,0,25,0,3360,14293
Guerrero,13683,2276,641,4,0,0,15,29,0,16648
Hidalgo,132,0,1,15,0,1,0,0,2,151
Jalisco,17825,6004,64,3,0,0,20,0,1326,25242
México,2722,0,11,1,5,0,2,0,186,2927
Michoacán,7804,1960,435,3359,0,0,24,11,0,13593
Morelos,11077,4091,600,21,0,0,6,0,0,15795
Nayarit,4154,607,48,1244,2,0,4,0,10,6069
Nuevo León,15,9,0,0,0,0,0,0,33,57
Oaxaca,1631,49,48,912,1,1,3,15,2,2662
Puebla,5994,733,62,1891,0,2,0,0,33,8715
Querétaro,623,1275,41,0,0,0,0,0,52,1991
Quintana Roo,41,16,17,0,0,0,0,0,0,74
San Luis Potosí,78,60,1,46,0,2,2,0,3,192
Sinaloa,1495,922,69,854,10,0,24,15,391,3780
Sonora,2054,741,72,2,0,0,3,0,121,2993
Tabasco,9,4,1,0,0,0,0,0,1,15
Tamaulipas,94,29,0,12,12,4,2,3,26,182
Tlaxcala,13,4,0,0,0,0,0,0,0,17
Veracruz,61,25,0,16,0,0,1,0,0,103
Yucatán,14,2,4,9,0,0,0,0,0,29
Zacatecas,1215,30,5,299,0,0,0,0,0,1549
TOTAL GLOBAL,84989,23692,2456,9107,35,10,149,125,5709,126272
