Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,1913,18,2,NA,0,NA,0,NA,0,1933
Baja California,30,67,2,4,NA,NA,0,0,37,140
Baja California Sur,115,6,11,NA,NA,NA,1,1,NA,134
Campeche,30,7,3,2,0,0,1,0,1,44
Coahuila,61,87,5,18,0,NA,1,NA,13,185
Colima,7191,2465,88,NA,0,NA,6,67,57,9874
Chiapas,152,32,30,51,NA,0,1,28,12,306
Chihuahua,151,95,1,134,NA,NA,0,NA,9,390
Distrito Federal,324,34,69,0,3,0,11,1,20,462
Durango,5376,211,2,938,0,NA,6,NA,3,6536
Guanajuato,14263,10045,270,2,NA,22,68,NA,7618,32288
Guerrero,31755,5946,825,2,NA,NA,124,20,0,38672
Hidalgo,126,1,3,16,0,0,0,NA,4,150
Jalisco,39224,11374,143,0,0,0,77,6,5062,55886
México,6070,45,6,1,3,NA,2,NA,308,6435
Michoacán,17182,2716,751,6864,NA,NA,55,13,NA,27581
Morelos,24305,6746,1207,14,NA,NA,81,NA,NA,32353
Nayarit,10486,1580,162,3570,13,NA,62,1,34,15908
Nuevo León,57,122,0,0,0,0,0,NA,25,204
Oaxaca,3382,160,158,1765,2,3,8,24,15,5517
Puebla,9317,1035,110,4355,0,0,1,NA,75,14893
Querétaro,1175,2298,108,0,3,NA,NA,NA,84,3668
Quintana Roo,46,44,11,NA,NA,NA,1,1,NA,103
San Luis Potosí,151,116,7,87,NA,1,0,NA,11,373
Sinaloa,3433,1453,145,2113,5,1,26,21,706,7903
Sonora,3559,952,90,0,NA,NA,16,6,186,4809
Tabasco,19,14,1,NA,NA,0,4,0,3,41
Tamaulipas,191,65,16,33,0,2,2,1,7,317
Tlaxcala,36,17,0,0,0,NA,0,NA,0,53
Veracruz,168,112,4,50,0,0,1,0,NA,335
Yucatán,17,24,4,23,0,NA,0,1,0,69
Zacatecas,2860,90,5,910,0,NA,12,NA,1,3878
T,183165,47977,4239,20952,29,29,567,191,14291,271440
